title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	ratings	meta_score	imdb_rating	imdb_votes	id	type	dvd	box_office	production	website	response
Epic Movie	2007	PG-13	26 Jan 2007	86 min	Adventure, Comedy, Fantasy	Jason Friedberg, Aaron Seltzer	Jason Friedberg, Aaron Seltzer	Kal Penn, Jennifer Coolidge, Fred Willard	A spoof on previous years' epic movies (The Da Vinci Code (2006), The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005) + 20 more), TV series, music videos and celebs. 4 orphans are on an epic adventure.	English	United States	2 wins & 3 nominations	https://m.media-amazon.com/images/M/MV5BMTA3NDM5ODU3NzleQTJeQWpwZ15BbWU3MDgyMjgyNDE@._V1_SX300.jpg	[object Object],[object Object],[object Object]	17	2.4	105,392	tt0799949	movie	22 May 2007	$39,739,367	N/A	N/A	True
Not Another Teen Movie	2001	R	14 Dec 2001	89 min	Comedy	Joel Gallen	Mike Bender, Adam Jay Epstein, Andrew Jacobson	Chyler Leigh, Jaime Pressly, Chris Evans	A sendup of all the teen movies that have accumulated in the past two decades.	English	United States	5 nominations	https://m.media-amazon.com/images/M/MV5BNTRhNWJmNTUtM2VhYi00NzdkLTgyYTUtMWMzMWI3MzFmNzk5XkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg	[object Object],[object Object],[object Object]	32	5.7	105,196	tt0277371	movie	07 Dec 2004	$38,252,284	N/A	N/A	True
Jackass: The Movie	2002	R	25 Oct 2002	85 min	Documentary, Action, Comedy	Jeff Tremaine	Jeff Tremaine, Spike Jonze, Johnny Knoxville	Johnny Knoxville, Bam Margera, Chris Pontius	Johnny Knoxville and his band of maniacs perform a variety of stunts and gross-out gags on the big screen for the first time.	English	United States	1 win & 7 nominations	https://m.media-amazon.com/images/M/MV5BOTgwMmU0YzktOGNhNi00MDcyLTg1OGEtZGQwM2RlMTAyYzhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	42	6.6	94,277	tt0322802	movie	06 Dec 2005	$64,255,312	N/A	N/A	True
The Angry Birds Movie	2016	PG	20 May 2016	97 min	Animation, Action, Adventure	Clay Kaytis, Fergal Reilly	Jon Vitti, Mikael Hed, Mikko Pöllä	Jason Sudeikis, Josh Gad, Danny McBride	When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to.	English	Finland, United States	2 wins & 8 nominations	https://m.media-amazon.com/images/M/MV5BMTY3MjU0NDA0OF5BMl5BanBnXkFtZTgwNTc0MTU3OTE@._V1_SX300.jpg	[object Object],[object Object],[object Object]	43	6.2	91,567	tt1985949	movie	16 Aug 2016	$107,509,366	N/A	N/A	True
Disaster Movie	2008	PG-13	29 Aug 2008	87 min	Comedy, Sci-Fi	Jason Friedberg, Aaron Seltzer	Jason Friedberg, Aaron Seltzer	Carmen Electra, Vanessa Lachey, Nicole Parker	Over the course of one evening, an unsuspecting group of twenty-somethings find themselves bombarded by a series of natural disasters and catastrophic events.	English	United States	1 win & 6 nominations	https://m.media-amazon.com/images/M/MV5BMTIzMDQyNDgwNl5BMl5BanBnXkFtZTcwMDA0MTc3MQ@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	15	1.9	91,231	tt1213644	movie	06 Jan 2009	$14,190,901	N/A	N/A	True
The SpongeBob SquarePants Movie	2004	PG	19 Nov 2004	87 min	Animation, Adventure, Comedy	Stephen Hillenburg, Mark Osborne	Derek Drymon, Tim Hill, Stephen Hillenburg	Tom Kenny, Jeffrey Tambor, Rodger Bumpass	SpongeBob SquarePants takes leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.	English	United States	1 win & 10 nominations	https://m.media-amazon.com/images/M/MV5BN2Y0ZmY1MzktYjk1MC00YjAwLTk0ZGQtMWM5ODkyNjE5YzQ3L2ltYWdlXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_SX300.jpg	[object Object],[object Object],[object Object]	66	7.1	89,471	tt0345950	movie	01 Mar 2005	$85,417,988	N/A	N/A	True
A Silent Voice: The Movie	2016	Not Rated	17 Sep 2016	130 min	Animation, Drama	Naoko Yamada	Yoshitoki Oima, Reiko Yoshida, Kiyoshi Shigematsu	Miyu Irino, Saori Hayami, Aoi Yûki	A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.	"Japanese, Japanese Sign "	Japan	4 wins & 8 nominations	https://m.media-amazon.com/images/M/MV5BZGRkOGMxYTUtZTBhYS00NzI3LWEzMDQtOWRhMmNjNjJjMzM4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg	[object Object],[object Object]	78	8.1	76,768	tt5323662	movie	N/A	$644,391	N/A	N/A	True
Scary Movie V	2013	PG-13	12 Apr 2013	86 min	Comedy	Malcolm D. Lee, David Zucker	David Zucker, Pat Proft, Shawn Wayans	Simon Rex, Ashley Tisdale, Charlie Sheen	A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.	English, Spanish, Latin	United States	5 nominations	https://m.media-amazon.com/images/M/MV5BMTc5OTIxMjQ4NF5BMl5BanBnXkFtZTcwOTAyNDcyOQ@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	11	3.5	71,340	tt0795461	movie	20 Aug 2013	$32,015,787	N/A	N/A	True
Superhero Movie	2008	PG-13	28 Mar 2008	75 min	Action, Comedy, Sci-Fi	Craig Mazin	Craig Mazin	Drake Bell, Leslie Nielsen, Sara Paxton	Orphaned high school student Rick Riker is bitten by a radioactive dragonfly, develops super powers (except for the ability to fly), and becomes a hero.	English	United States	1 nomination	https://m.media-amazon.com/images/M/MV5BMTc0Njc1MTU5Nl5BMl5BanBnXkFtZTcwMjA4NDE2MQ@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	33	4.6	68,598	tt0426592	movie	08 Jul 2008	$25,881,068	N/A	N/A	True
The Lego Movie 2: The Second Part	2019	PG	08 Feb 2019	107 min	Animation, Action, Adventure	Mike Mitchell	Phil Lord, Christopher Miller, Matthew Fogel	Chris Pratt, Elizabeth Banks, Will Arnett	It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.	English	Denmark, Norway, Australia, United States	1 win & 16 nominations	https://m.media-amazon.com/images/M/MV5BMTkyOTkwNDc1N15BMl5BanBnXkFtZTgwNzkyMzk3NjM@._V1_SX300.jpg	[object Object],[object Object],[object Object]	65	6.6	64,999	tt3513498	movie	07 May 2019	$105,956,290	N/A	N/A	True
The Emoji Movie	2017	PG	28 Jul 2017	86 min	Animation, Adventure, Comedy	Tony Leondis	Tony Leondis, Eric Siegel, Mike White	T.J. Miller, James Corden, Anna Faris	Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.	English, Spanish	United States	7 wins & 3 nominations	https://m.media-amazon.com/images/M/MV5BMTkzMzM3OTM2Ml5BMl5BanBnXkFtZTgwMDM0NDU3MjI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	12	3.3	63,450	tt4877122	movie	24 Oct 2017	$86,089,513	N/A	N/A	True
Date Movie	2006	PG-13	17 Feb 2006	83 min	Comedy, Romance	Aaron Seltzer, Jason Friedberg	Jason Friedberg, Aaron Seltzer	Alyson Hannigan, Adam Campbell, Fred Willard	Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.	English	United States, Switzerland	4 wins & 1 nomination	https://m.media-amazon.com/images/M/MV5BYjA0NGUyMDQtY2RlNy00Y2YzLWIyODItNWE1ZTM1NTM3MWM1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg	[object Object],[object Object],[object Object]	11	2.8	59,572	tt0466342	movie	30 May 2006	$48,548,426	N/A	N/A	True
The SpongeBob Movie: Sponge Out of Water	2015	PG	06 Feb 2015	92 min	Animation, Adventure, Comedy	Paul Tibbitt, Mike Mitchell	Jonathan Aibel, Glenn Berger, Stephen Hillenburg	Tom Kenny, Antonio Banderas, Bill Fagerbakke	When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his nemesis Plankton must team up in order to get it back.	English	United States, South Korea, Australia	1 win & 9 nominations	https://m.media-amazon.com/images/M/MV5BMGEzNGRjYzYtNmRjNy00ZTI0LTgwOTYtOTViMGM0MWUwMzQ5XkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_SX300.jpg	[object Object],[object Object],[object Object]	62	6.0	54,810	tt2279373	movie	02 Jun 2015	$162,994,032	N/A	N/A	True
A Goofy Movie	1995	G	07 Apr 1995	78 min	Animation, Adventure, Comedy	Kevin Lima	Jymn Magon, Chris Matheson, Brian Pimental	Bill Farmer, Jason Marsden, Jim Cummings	When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.	English	United States, Australia, France, Canada	5 nominations	https://m.media-amazon.com/images/M/MV5BZDczYjU4MDMtY2RjMy00Y2UyLWE2MmMtZjliYWUwNzQ3YjExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	53	6.9	53,425	tt0113198	movie	03 Jun 2003	$35,348,597	N/A	N/A	True
Cowboy Bebop: The Movie	2001	TV-14	16 May 2003	115 min	Animation, Action, Crime	Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura	Keiko Nobumoto, Hajime Yatate	Beau Billingslea, Melissa Fahn, Nicholas Guest	A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.	Japanese, English	Japan, United States	2 nominations	https://m.media-amazon.com/images/M/MV5BMTA1ODIxMDYyMzFeQTJeQWpwZ15BbWU2MDUwOTQ5Ng@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	61	7.8	48,433	tt0275277	movie	24 Jun 2003	$1,000,045	N/A	N/A	True
The Peanuts Movie	2015	G	06 Nov 2015	88 min	Animation, Adventure, Comedy	Steve Martino	Craig Schulz, Bryan Schulz, Cornelius Uliano	Noah Schnapp, Bill Melendez, Hadley Belle Miller	Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life.	English	United States	2 wins & 48 nominations	https://m.media-amazon.com/images/M/MV5BNTE5NzMxNzkwNl5BMl5BanBnXkFtZTgwOTQ0Nzk5NzE@._V1_SX300.jpg	[object Object],[object Object],[object Object]	67	7.0	45,738	tt2452042	movie	08 Mar 2016	$130,178,411	N/A	N/A	True
Pokémon: The First Movie - Mewtwo Strikes Back	1998	G	10 Nov 1999	96 min	Animation, Action, Adventure	Kunihiko Yuyama, Michael Haigney	Satoshi Tajiri, Takeshi Shudo, Norman J. Grossfeld	Veronica Taylor, Rachael Lillis, Eric Stuart	Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.	Japanese	Japan	3 wins & 6 nominations	https://m.media-amazon.com/images/M/MV5BMWYyNTBkNzAtZDg1YS00ZDhhLTg4MjAtOTg2NDY4ZjA2NzcyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg	[object Object],[object Object],[object Object]	35	6.2	43,023	tt0190641	movie	21 Mar 2000	$85,744,662	N/A	N/A	True
Hannah Montana: The Movie	2009	G	10 Apr 2009	102 min	Comedy, Drama, Family	Peter Chelsom	Dan Berendsen, Michael Poryes, Richard Correll	Miley Cyrus, Emily Osment, Billy Ray Cyrus	As Hannah Montana's popularity begins to take over her life, Miley Stewart, on the urging from her father takes a trip to her hometown of Crowley Corners, Tennessee to get some perspective on what matters in life the most.	English	United States	6 wins & 10 nominations	https://m.media-amazon.com/images/M/MV5BMTkxNjUxODY3NF5BMl5BanBnXkFtZTcwMjQyMzMzMg@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	47	4.5	42,442	tt1114677	movie	18 Aug 2009	$79,576,189	N/A	N/A	True
Shaun the Sheep Movie	2015	PG	05 Aug 2015	85 min	Animation, Adventure, Comedy	Mark Burton, Richard Starzak	Mark Burton, Richard Starzak, Nick Park	Justin Fletcher, John Sparkes, Omid Djalili	When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flo...	None, English	United Kingdom, France, United States	Nominated for 1 Oscar. 5 wins & 50 nominations total	https://m.media-amazon.com/images/M/MV5BOTc1ODY5MTQ1Nl5BMl5BanBnXkFtZTgwMDM5ODI1NjE@._V1_SX300.jpg	[object Object],[object Object],[object Object]	81	7.3	40,565	tt2872750	movie	24 Nov 2015	$19,375,982	N/A	N/A	True
The Transformers: The Movie	1986	PG	08 Aug 1986	84 min	Animation, Action, Adventure	Nelson Shin	Ron Friedman, Henry Orenstein	Orson Welles, Robert Stack, Leonard Nimoy	The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.	English, Japanese	United States, Japan, Italy	2 nominations	https://m.media-amazon.com/images/M/MV5BZGM1MGY4OTYtOGZkOC00NjYyLTk3OTMtODUyZDdhYWQ3NGFjXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg	[object Object],[object Object],[object Object]	43	7.2	39,651	tt0092106	movie	07 Nov 2000	$5,849,647	N/A	N/A	True
The Lizzie McGuire Movie	2003	PG	02 May 2003	94 min	Adventure, Comedy, Family	Jim Fall	Susan Estelle Jansen, Ed Decter, John J. Strauss	Hilary Duff, Adam Lamberg, Clayton Snyder	Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.	English, Italian	United States	2 wins & 3 nominations	https://m.media-amazon.com/images/M/MV5BMTMzNDg1NDc0NF5BMl5BanBnXkFtZTYwOTY2OTU3._V1_SX300.jpg	[object Object],[object Object],[object Object]	56	5.5	39,534	tt0306841	movie	05 Feb 2006	$42,734,455	N/A	N/A	True
Twilight Zone: The Movie	1983	PG	24 Jun 1983	101 min	Horror, Sci-Fi	Joe Dante, John Landis, George Miller	John Landis, George Clayton Johnson, Richard Matheson	Dan Aykroyd, Albert Brooks, Vic Morrow	Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series.	English, French, German, Vietnamese	United States	1 win & 8 nominations	https://m.media-amazon.com/images/M/MV5BYjQ2NzgzYjEtMzAxNy00MzhkLWE5ZTUtZDA1ODY3MTBjOTRiXkEyXkFqcGdeQXVyNTAyNDQ2NjI@._V1_SX300.jpg	[object Object],[object Object],[object Object]	44	6.4	37,681	tt0086491	movie	09 Oct 2007	$29,450,919	N/A	N/A	True
The Muppet Movie	1979	G	22 Jun 1979	95 min	Adventure, Comedy, Family	James Frawley	Jerry Juhl, Jack Burns	Jim Henson, Frank Oz, Jerry Nelson	Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.	English	United Kingdom, United States	Nominated for 2 Oscars. 3 wins & 11 nominations total	https://m.media-amazon.com/images/M/MV5BMGQ0OGM5YjItYzYyMi00NmVmLWI3ODMtMTY2NGRkZmI5MWU2XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_SX300.jpg	[object Object],[object Object],[object Object]	74	7.6	35,938	tt0079588	movie	29 Nov 2005	$65,810,475	N/A	N/A	True
Between Two Ferns: The Movie	2019	TV-MA	20 Sep 2019	82 min	Comedy	Scott Aukerman	Scott Aukerman, Zach Galifianakis	Zach Galifianakis, Matthew McConaughey, Rekha Shankar	Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.	English	United States	Nominated for 1 Primetime Emmy. 1 win & 2 nominations total	https://m.media-amazon.com/images/M/MV5BYzgyNzUyZjAtNDRiZS00MjQwLTgzMzQtZThhY2Y3YjFmYTc1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg	[object Object],[object Object],[object Object]	59	6.1	32,084	tt9398640	movie	20 Sep 2019	N/A	N/A	N/A	True
The Angry Birds Movie 2	2019	PG	14 Aug 2019	97 min	Animation, Action, Adventure	Thurop Van Orman, John Rice	Peter Ackerman, Eyal Podell, Jonathon E. Stewart	Jason Sudeikis, Josh Gad, Leslie Jones	The flightless birds and scheming green pigs take their feud to the next level.	English	Finland, United States	1 win & 3 nominations	https://m.media-amazon.com/images/M/MV5BYzdkNGJhNzQtMjY1OC00MDI3LTk0ZDUtNzU0MGZiY2YwZGUxXkEyXkFqcGdeQXVyNzMxNjQxMTk@._V1_SX300.jpg	[object Object],[object Object],[object Object]	60	6.4	28,626	tt6095472	movie	27 Aug 2019	$41,667,116	N/A	N/A	True
Captain Underpants: The First Epic Movie	2017	PG	02 Jun 2017	89 min	Animation, Action, Adventure	David Soren	Nicholas Stoller, Dav Pilkey, David Soren	Kevin Hart, Thomas Middleditch, Ed Helms	Two overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants.	English, German	United States	3 wins & 15 nominations	https://m.media-amazon.com/images/M/MV5BMmQwMzdiOGMtNGZiYS00YjgyLWJlMjItYzQ3Nzc2OGIwYjQwXkEyXkFqcGdeQXVyMzQ1MTM3NjY@._V1_SX300.jpg	[object Object],[object Object],[object Object]	69	6.2	28,279	tt2091256	movie	12 Sep 2017	$73,921,000	N/A	N/A	True
Mighty Morphin Power Rangers: The Movie	1995	PG	30 Jun 1995	95 min	Action, Adventure, Family	Bryan Spicer	John Kamps, Arne Olsen	Karan Ashley, Johnny Yong Bosch, Steve Cardenas	A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a di...	English	United States, Japan, Australia, New Zealand	1 nomination	https://m.media-amazon.com/images/M/MV5BN2I2Y2I5N2MtMzJhMy00NzE2LThlMzEtNGE0ODA4M2JhOWNiXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg	[object Object],[object Object],[object Object]	40	5.2	27,347	tt0113820	movie	02 Sep 2003	$38,187,431	N/A	N/A	True
DuckTales the Movie: Treasure of the Lost Lamp	1990	G	03 Aug 1990	74 min	Animation, Adventure, Comedy	Bob Hathcock	Alan Burnett, Carl Barks, Ted Osborne	Alan Young, Christopher Lloyd, Terence McGovern	Scrooge McDuck takes Huey, Dewey, and Louie to Egypt to find a pyramid and magic lamp.	English	France, United States	1 nomination	https://m.media-amazon.com/images/M/MV5BMGY1NjdiMmItMmE5MS00NjllLWJmM2ItMmU1ZTRjMWYyZjc4XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg	[object Object],[object Object]	N/A	6.8	26,874	tt0099472	movie	13 Jan 2015	$18,115,724	N/A	N/A	True
The Lego Ninjago Movie	2017	PG	22 Sep 2017	101 min	Animation, Action, Adventure	Charlie Bean, Paul Fisher, Bob Logan	Bob Logan, Paul Fisher, William Wheeler	Jackie Chan, Dave Franco, Fred Armisen	Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas.	English	United States, Denmark, Australia	7 nominations	https://m.media-amazon.com/images/M/MV5BNDI3MDljMTQtYzBiYS00NDk2LTlhYzUtYmM0NWIyMmZkMDZkXkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_SX300.jpg	[object Object],[object Object],[object Object]	55	6.0	25,903	tt3014284	movie	19 Dec 2017	$59,364,177	N/A	N/A	True
Man with a Movie Camera	1929	Not Rated	12 May 1929	68 min	Documentary, Music	Dziga Vertov	Dziga Vertov	Mikhail Kaufman, Elizaveta Svilova	A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.	None	Soviet Union	1 win & 1 nomination	https://m.media-amazon.com/images/M/MV5BYTc3NGVlN2QtYWJlZi00YjhjLThiZjctZDA1MmE1NGI4ZmE4XkEyXkFqcGdeQXVyODQyNDU4OTk@._V1_SX300.jpg	[object Object],[object Object]	N/A	8.4	24,813	tt0019760	movie	16 Feb 1999	N/A	N/A	N/A	True
Deadwood: The Movie	2019	TV-MA	31 May 2019	110 min	Drama, Western	Daniel Minahan	David Milch, Bryan Law	Timothy Olyphant, Ian McShane, Molly Parker	As the residents of Deadwood gather to commemorate Dakota's statehood in 1889, saloon owner Al Swearengen and Marshal Seth Bullock clash with Senator George Hearst.	English, Chinese	United States	Nominated for 8 Primetime Emmys. 3 wins & 37 nominations total	https://m.media-amazon.com/images/M/MV5BM2Y1OGQ4ZjEtZWUzMi00MzZmLTk3MmEtMThiNjIwNzg4MjRkXkEyXkFqcGdeQXVyMTE5NDkxMA@@._V1_SX300.jpg	[object Object],[object Object]	N/A	7.4	22,791	tt4943998	movie	15 Nov 2019	N/A	N/A	N/A	True
